body_metric_id,athlete_id,measurement_date,body_weight_kg,body_fat_percent,height_cm,lean_mass_kg,notes
1,1,2025-01-01,80.0,9.0,183.0,,
2,2,2025-01-01,76.0,8.0,188.0,,
3,3,2025-01-01,77.0,7.0,188.0,,
4,4,2025-01-01,113.0,10.0,206.0,,
5,5,2025-01-01,86.0,9.0,188.0,,
6,6,2025-01-01,104.0,11.0,201.0,,
7,7,2025-01-01,73.0,8.0,174.0,,
8,8,2025-01-01,72.0,7.0,181.0,,
9,9,2025-01-01,69.0,7.0,180.0,,
10,10,2025-01-01,67.0,8.0,170.0,,
11,11,2025-01-01,84.0,7.0,187.0,,
12,12,2025-01-01,78.0,8.0,178.0,,
13,13,2025-01-01,66.0,8.0,170.0,,
14,14,2025-01-01,68.0,9.0,172.0,,
15,15,2025-01-01,62.0,7.0,165.0,,
