athlete_team_id,athlete_id,team_id,season_id,squad_role,start_date,end_date
1,1,1,1,Main Draw,2024-08-01,
2,2,1,1,Main Draw,2024-08-01,
3,3,1,1,Main Draw,2024-08-01,
4,4,2,1,Starter,2024-10-01,
5,5,3,1,Starter,2024-10-01,
6,6,4,1,Starter,2024-10-01,
7,7,5,1,Race Driver,2024-03-01,
8,8,6,1,Race Driver,2024-03-01,
9,9,7,1,Race Driver,2024-03-01,
10,10,8,1,Starter,2024-08-01,
11,11,9,1,Starter,2024-08-01,
12,12,10,1,Starter,2024-08-01,
13,13,11,1,Crew Member,2024-01-01,
14,14,12,1,Crew Member,2024-01-01,
15,15,13,1,Crew Member,2024-01-01,
