athlete_id,first_name,last_name,date_of_birth,biological_sex,primary_position,notes
1,Carlos,Alcaraz,2003-05-05,M,Tennis Player,
2,Jannik,Sinner,2001-08-16,M,Tennis Player,
3,Novak,Djokovic,1987-05-22,M,Tennis Player,Known for gluten-sensitive diet
4,LeBron,James,1984-12-30,M,Forward,
5,Stephen,Curry,1988-03-14,M,Guard,
6,Luka,Doncic,1999-02-28,M,Guard/Forward,
7,Lewis,Hamilton,1985-01-07,M,F1 Driver,Predominantly plant-based diet
8,Max,Verstappen,1997-09-30,M,F1 Driver,
9,Charles,Leclerc,1997-10-16,M,F1 Driver,
10,Lionel,Messi,1987-06-24,M,Forward,
11,Cristiano,Ronaldo,1985-02-05,M,Forward,
12,Kylian,Mbappe,1998-12-20,M,Forward,
13,Hong10,Kim,1984-12-18,M,Breaking Dancer,
14,Lilou,Cherif,1984-04-18,M,Breaking Dancer,
15,Shingekix,Nakarai,2002-03-21,M,Breaking Dancer,
