session_id,athlete_id,session_datetime,session_type,intensity_level,duration_minutes,environment,notes
1,1,2025-01-02 10:00,Tennis Training,High,120.0,Outdoor hard court,
2,2,2025-01-02 10:00,Tennis Training,High,120.0,Outdoor hard court,
3,3,2025-01-02 10:00,Tennis Training,High,120.0,Outdoor hard court,
4,4,2025-01-02 17:00,NBA Game,High,38.0,Indoor arena,
5,5,2025-01-02 17:00,Practice,Moderate,90.0,Indoor court,
6,6,2025-01-02 15:00,Recovery Session,Low,60.0,Indoor training facility,
7,7,2025-01-02 08:00,F1 Simulator,Moderate,90.0,Indoor simulator,
8,8,2025-01-02 08:00,F1 Simulator,Moderate,90.0,Indoor simulator,
9,9,2025-01-02 08:00,F1 Simulator,Moderate,90.0,Indoor simulator,
10,10,2025-01-02 09:30,Soccer Training,High,110.0,Outdoor pitch,
11,11,2025-01-02 09:30,Soccer Training,High,110.0,Outdoor pitch,
12,12,2025-01-02 09:30,Soccer Training,High,110.0,Outdoor pitch,
13,13,2025-01-02 14:00,Breaking Session,High,120.0,Indoor studio,
14,14,2025-01-02 14:00,Breaking Session,High,120.0,Indoor studio,
15,15,2025-01-02 14:00,Breaking Session,High,120.0,Indoor studio,
