food_nutrient_id,food_id,nutrient_id,amount_per_serving
1,1,1,190.0
2,1,2,6.0
3,1,3,32.0
4,1,4,3.0
5,2,1,140.0
6,2,2,12.0
7,2,3,2.0
8,2,4,10.0
9,3,1,198.0
10,3,2,35.0
11,3,3,0.0
12,3,4,4.0
13,4,1,170.0
14,4,2,4.0
15,4,3,36.0
16,4,4,1.0
17,5,1,260.0
18,5,2,9.0
19,5,3,50.0
20,5,4,2.0
21,6,1,30.0
22,6,2,2.0
23,6,3,5.0
24,6,4,0.0
25,7,1,90.0
26,7,2,1.0
27,7,3,23.0
28,7,4,0.0
29,8,1,120.0
30,8,2,24.0
31,8,3,4.0
32,8,4,2.0
33,9,1,180.0
34,9,2,30.0
35,9,3,0.0
36,9,4,5.0
37,10,1,50.0
38,10,2,3.0
39,10,3,10.0
40,10,4,0.0
