hydration_log_id,athlete_id,session_id,log_datetime,beverage_type_id,volume_ml,estimated_electrolyte_mg,notes
1,1,1,2025-01-02 09:00,1,500.0,0.0,
2,1,1,2025-01-02 11:00,2,350.0,200.0,
3,2,2,2025-01-02 09:00,1,500.0,0.0,
4,2,2,2025-01-02 11:00,2,350.0,200.0,
5,3,3,2025-01-02 09:00,1,500.0,0.0,
6,3,3,2025-01-02 11:00,2,350.0,200.0,
7,4,4,2025-01-02 10:00,1,600.0,0.0,
8,4,4,2025-01-02 12:00,2,400.0,230.0,
9,5,5,2025-01-02 10:00,1,500.0,0.0,
10,5,5,2025-01-02 12:00,2,350.0,200.0,
11,6,6,2025-01-02 10:00,1,600.0,0.0,
12,6,6,2025-01-02 12:00,2,400.0,230.0,
13,7,7,2025-01-02 09:00,1,500.0,0.0,
14,7,7,2025-01-02 10:30,3,300.0,250.0,Concentrated electrolyte
15,8,8,2025-01-02 09:00,1,500.0,0.0,
16,8,8,2025-01-02 10:30,3,300.0,250.0,
17,9,9,2025-01-02 09:00,1,500.0,0.0,
18,9,9,2025-01-02 10:30,3,300.0,250.0,
19,10,10,2025-01-02 09:00,1,500.0,0.0,
20,10,10,2025-01-02 11:00,2,350.0,200.0,
21,11,11,2025-01-02 09:00,1,500.0,0.0,
22,11,11,2025-01-02 11:00,2,350.0,200.0,
23,12,12,2025-01-02 09:00,1,500.0,0.0,
24,12,12,2025-01-02 11:00,2,350.0,200.0,
25,13,13,2025-01-02 09:30,1,400.0,0.0,
26,13,13,2025-01-02 11:30,2,300.0,170.0,
27,14,14,2025-01-02 09:30,1,400.0,0.0,
28,14,14,2025-01-02 11:30,2,300.0,170.0,
29,15,15,2025-01-02 09:30,1,400.0,0.0,
30,15,15,2025-01-02 11:30,2,300.0,170.0,
