meal_item_id,meal_id,food_id,servings,preparation_notes
1,1,1,1.0,
2,1,7,1.0,
3,2,3,1.0,
4,2,4,1.0,
5,3,1,1.0,
6,4,5,1.0,
7,4,6,1.0,
8,5,1,1.0,Gluten-free oats
9,5,10,1.0,
10,6,9,1.0,
11,6,6,1.0,
12,7,1,1.0,
13,7,8,1.0,
14,8,3,1.0,
15,8,6,1.0,
16,9,7,1.0,
17,9,1,1.0,
18,10,3,1.0,
19,10,6,1.0,
20,11,2,2.0,
21,11,1,1.0,
22,12,3,1.0,
23,12,4,1.0,
24,13,7,1.0,
25,13,10,1.0,
26,14,6,1.0,
27,14,4,1.0,Brown rice + veggies
28,15,1,1.0,
29,15,7,1.0,
30,16,3,1.0,
31,16,4,1.0,
32,17,7,1.0,
33,17,1,1.0,
34,18,9,1.0,
35,18,6,1.0,
36,19,1,1.0,
37,19,7,1.0,
38,20,3,1.0,
39,20,6,1.0,
40,21,7,1.0,
41,21,2,1.0,
42,22,9,1.0,
43,22,6,1.0,
44,23,1,1.0,
45,23,7,1.0,
46,24,3,1.0,
47,24,4,1.0,
48,25,1,1.0,
49,25,7,1.0,
50,26,3,1.0,
51,26,6,1.0,
52,27,1,1.0,
53,27,7,1.0,
54,28,3,1.0,
55,28,6,1.0,
56,29,1,1.0,
57,29,7,1.0,
58,30,3,1.0,
59,30,6,1.0,
